year,state,district,crop_name,yield_ton_per_hectare,area_hectares,production_tonnes
2018,Maharashtra,Aurangabad,Sugarcane,76.35,10881,830786.1
2018,Maharashtra,Nagpur,Rice,2.1,41489,87201.99
2018,Maharashtra,Nagpur,Sugarcane,63.12,31581,1993322.07
2018,Maharashtra,Nashik,Rice,2.1,48899,102843.02
2018,Maharashtra,Nashik,Sugarcane,61.31,10181,624224.15
2018,Maharashtra,Pune,Rice,2.1,49709,104276.75
2018,Maharashtra,Pune,Sugarcane,65.18,49189,3206066.53
2018,Maharashtra,Satara,Rice,1.81,12836,23193.76
2018,Maharashtra,Satara,Sugarcane,64.8,37692,2442313.46
2018,Punjab,Amritsar,Wheat,2.99,22862,68451.33
2018,Punjab,Amritsar,Rice,1.96,31112,60843.35
2018,Punjab,Bathinda,Wheat,2.62,31846,83278.54
2018,Punjab,Bathinda,Rice,2.19,36760,80337.78
2018,Punjab,Jalandhar,Wheat,2.58,19764,50901.36
2018,Punjab,Jalandhar,Rice,1.75,29611,51868.96
2018,Punjab,Ludhiana,Wheat,2.48,31834,78993.73
2018,Punjab,Ludhiana,Rice,2.06,42296,86953.81
2018,Punjab,Patiala,Wheat,2.72,42195,114754.39
2018,Punjab,Patiala,Rice,1.89,30846,58430.42
2019,Maharashtra,Aurangabad,Rice,2.16,24593,53090.43
2019,Maharashtra,Aurangabad,Sugarcane,56.6,13793,780637.31
2019,Maharashtra,Nagpur,Rice,1.91,48636,92895.61
2019,Maharashtra,Nagpur,Sugarcane,70.52,49283,3475346.2
2019,Maharashtra,Nashik,Wheat,3.16,21404,67593.99
2019,Maharashtra,Nashik,Rice,1.88,20431,38392.42
2019,Maharashtra,Nashik,Sugarcane,59.76,46021,2750317.75
2019,Maharashtra,Pune,Rice,1.99,38482,76401.84
2019,Maharashtra,Pune,Sugarcane,57.99,38959,2259195.67
2019,Maharashtra,Satara,Rice,2.23,14153,31528.72
2019,Maharashtra,Satara,Sugarcane,68.08,11097,755515.39
2019,Punjab,Amritsar,Wheat,2.51,38793,97340.0
2019,Punjab,Amritsar,Rice,1.85,45241,83524.57
2019,Punjab,Bathinda,Wheat,2.57,10617,27307.43
2019,Punjab,Bathinda,Rice,1.91,40387,77230.17
2019,Punjab,Jalandhar,Wheat,2.78,30906,85835.85
2019,Punjab,Jalandhar,Rice,1.63,39279,63891.15
2019,Punjab,Ludhiana,Wheat,2.67,38698,103382.58
2019,Punjab,Ludhiana,Rice,2.01,30786,61765.74
2019,Punjab,Ludhiana,Sugarcane,57.73,18825,1086732.69
2019,Punjab,Patiala,Wheat,2.82,49012,138306.49
2019,Punjab,Patiala,Rice,1.82,25606,46540.63
2020,Maharashtra,Aurangabad,Rice,1.53,29826,45623.48
2020,Maharashtra,Aurangabad,Sugarcane,46.34,42440,1966499.54
2020,Maharashtra,Nagpur,Rice,1.92,28696,55101.83
2020,Maharashtra,Nagpur,Sugarcane,70.71,30478,2155010.35
2020,Maharashtra,Nashik,Rice,1.91,14527,27803.84
2020,Maharashtra,Nashik,Sugarcane,70.66,37642,2659803.96
2020,Maharashtra,Pune,Rice,1.85,27480,50951.93
2020,Maharashtra,Pune,Sugarcane,63.56,39395,2504062.84
2020,Maharashtra,Satara,Rice,2.35,19760,46396.84
2020,Maharashtra,Satara,Sugarcane,68.77,36741,2526566.72
2020,Punjab,Amritsar,Wheat,2.26,32849,74112.4
2020,Punjab,Amritsar,Rice,1.96,11576,22691.44
2020,Punjab,Bathinda,Wheat,2.65,48684,129081.35
2020,Punjab,Bathinda,Rice,1.89,43216,81603.53
2020,Punjab,Bathinda,Sugarcane,60.58,24950,1511584.55
2020,Punjab,Jalandhar,Wheat,2.74,34285,93778.08
2020,Punjab,Jalandhar,Rice,2.16,17450,37675.89
2020,Punjab,Ludhiana,Wheat,2.51,37606,94483.91
2020,Punjab,Ludhiana,Rice,2.4,16071,38505.04
2020,Punjab,Ludhiana,Sugarcane,65.08,12971,844139.54
2020,Punjab,Patiala,Wheat,2.69,49211,132544.05
2020,Punjab,Patiala,Rice,2.17,10486,22723.33
2021,Maharashtra,Aurangabad,Rice,2.35,25158,59047.12
2021,Maharashtra,Aurangabad,Sugarcane,65.45,13272,868636.21
2021,Maharashtra,Nagpur,Rice,2.24,26677,59768.79
2021,Maharashtra,Nagpur,Sugarcane,62.11,40540,2517991.78
2021,Maharashtra,Nashik,Rice,2.06,15382,31676.47
2021,Maharashtra,Nashik,Sugarcane,70.04,29545,2069319.3
2021,Maharashtra,Pune,Wheat,2.17,22398,48498.13
2021,Maharashtra,Pune,Rice,1.96,47374,92889.58
2021,Maharashtra,Pune,Sugarcane,67.98,13211,898043.87
2021,Maharashtra,Satara,Rice,2.22,21981,48882.11
2021,Maharashtra,Satara,Sugarcane,67.52,27933,1885989.6
2021,Punjab,Amritsar,Wheat,2.94,22599,66394.83
2021,Punjab,Amritsar,Rice,1.7,19590,33240.18
2021,Punjab,Bathinda,Wheat,2.93,32869,96259.17
2021,Punjab,Bathinda,Rice,1.69,13829,23397.25
2021,Punjab,Jalandhar,Wheat,2.79,35213,98253.79
2021,Punjab,Jalandhar,Rice,2.14,15229,32648.21
2021,Punjab,Ludhiana,Wheat,2.84,38642,109710.95
2021,Punjab,Ludhiana,Rice,1.86,27444,51092.19
2021,Punjab,Patiala,Wheat,2.97,29804,88372.12
2021,Punjab,Patiala,Rice,1.78,30060,53580.18
2022,Maharashtra,Aurangabad,Wheat,2.78,46664,129841.17
2022,Maharashtra,Aurangabad,Rice,1.84,19136,35255.1
2022,Maharashtra,Aurangabad,Sugarcane,57.25,41811,2393576.88
2022,Maharashtra,Nagpur,Rice,1.82,26625,48346.93
2022,Maharashtra,Nagpur,Sugarcane,52.26,48849,2552727.02
2022,Maharashtra,Nashik,Rice,2.24,22089,49409.52
2022,Maharashtra,Nashik,Sugarcane,70.44,38440,2707595.04
2022,Maharashtra,Pune,Rice,2.11,18451,39007.37
2022,Maharashtra,Pune,Sugarcane,62.42,30034,1874797.61
2022,Maharashtra,Satara,Rice,1.9,37318,70976.25
2022,Maharashtra,Satara,Sugarcane,55.61,18098,1006496.47
2022,Punjab,Amritsar,Wheat,2.39,27828,66453.09
2022,Punjab,Amritsar,Rice,1.98,21941,43400.44
2022,Punjab,Amritsar,Sugarcane,72.2,29400,2122731.58
2022,Punjab,Bathinda,Wheat,2.22,29686,65851.2
2022,Punjab,Bathinda,Rice,2.24,49209,110332.11
2022,Punjab,Jalandhar,Wheat,2.29,41877,95997.27
2022,Punjab,Jalandhar,Rice,1.84,45815,84499.83
2022,Punjab,Ludhiana,Wheat,2.9,45703,132609.81
2022,Punjab,Ludhiana,Rice,1.85,49698,91989.74
2022,Punjab,Patiala,Wheat,2.48,28687,71102.31
2022,Punjab,Patiala,Rice,1.99,20596,41006.77
2023,Maharashtra,Aurangabad,Rice,1.91,49832,95284.99
2023,Maharashtra,Aurangabad,Sugarcane,69.75,19858,1385172.63
2023,Maharashtra,Nagpur,Rice,1.86,16579,30880.39
2023,Maharashtra,Nagpur,Sugarcane,63.16,35227,2224868.27
2023,Maharashtra,Nashik,Rice,2.18,25244,54980.81
2023,Maharashtra,Nashik,Sugarcane,67.86,14288,969569.97
2023,Maharashtra,Pune,Rice,1.78,11623,20638.1
2023,Maharashtra,Pune,Sugarcane,64.53,14883,960439.31
2023,Maharashtra,Satara,Rice,2.3,49287,113422.25
2023,Maharashtra,Satara,Sugarcane,58.76,23561,1384521.94
2023,Punjab,Amritsar,Wheat,2.53,17227,43666.81
2023,Punjab,Amritsar,Rice,1.81,48308,87570.73
2023,Punjab,Bathinda,Wheat,2.38,14026,33337.56
2023,Punjab,Bathinda,Rice,1.98,50000,98792.18
2023,Punjab,Jalandhar,Wheat,2.16,45994,99224.13
2023,Punjab,Jalandhar,Rice,2.1,36136,75934.61
2023,Punjab,Jalandhar,Sugarcane,58.83,28398,1670786.9
2023,Punjab,Ludhiana,Wheat,3.15,49205,154944.49
2023,Punjab,Ludhiana,Rice,1.98,33398,66018.64
2023,Punjab,Patiala,Wheat,1.93,35112,67793.82
2023,Punjab,Patiala,Rice,2.01,27344,54844.57
2024,Maharashtra,Aurangabad,Rice,1.93,49631,95665.42
2024,Maharashtra,Aurangabad,Sugarcane,56.14,20807,1168176.3
2024,Maharashtra,Nagpur,Rice,2.22,27962,62017.42
2024,Maharashtra,Nagpur,Sugarcane,58.32,12623,736139.13
2024,Maharashtra,Nashik,Rice,2.18,42100,91896.78
2024,Maharashtra,Nashik,Sugarcane,57.21,43124,2467280.47
2024,Maharashtra,Pune,Rice,1.63,37602,61450.05
2024,Maharashtra,Pune,Sugarcane,49.81,42197,2101789.9
2024,Maharashtra,Satara,Rice,1.84,49665,91443.34
2024,Maharashtra,Satara,Sugarcane,68.99,23499,1621216.77
2024,Punjab,Amritsar,Wheat,2.89,13576,39206.13
2024,Punjab,Amritsar,Rice,1.64,27701,45529.15
2024,Punjab,Bathinda,Wheat,2.71,37385,101175.8
2024,Punjab,Bathinda,Rice,2.39,25230,60356.34
2024,Punjab,Jalandhar,Wheat,2.81,42275,118913.31
2024,Punjab,Jalandhar,Rice,1.87,34620,64653.69
2024,Punjab,Ludhiana,Wheat,2.56,20581,52618.85
2024,Punjab,Ludhiana,Rice,1.92,17968,34532.8
2024,Punjab,Patiala,Wheat,3.06,15360,47003.46
2024,Punjab,Patiala,Rice,1.9,45818,87085.3
